iter	Passed	Remaining
0	2	2005
1	4	2039
2	5	1940
3	7	1889
4	9	1820
5	10	1821
6	12	1805
7	14	1786
8	16	1773
9	18	1803
10	20	1824
11	22	1816
12	23	1813
13	25	1812
14	27	1794
15	28	1782
16	30	1774
17	32	1782
18	36	1861
19	37	1845
20	39	1827
21	40	1805
22	42	1790
23	43	1770
24	45	1758
25	46	1755
26	48	1760
27	50	1768
28	52	1766
29	53	1744
30	55	1728
31	56	1715
32	58	1710
33	59	1701
34	61	1687
35	63	1708
36	65	1710
37	68	1723
38	69	1717
39	70	1702
40	71	1680
41	74	1688
42	75	1686
43	78	1707
44	79	1691
45	81	1684
46	82	1670
47	83	1655
48	84	1642
49	85	1628
50	86	1616
51	88	1604
52	89	1596
53	91	1605
54	93	1606
55	94	1601
56	96	1589
57	97	1578
58	98	1574
59	100	1574
60	101	1566
61	102	1557
62	105	1566
63	106	1560
64	107	1551
65	109	1554
66	112	1559
67	113	1553
68	114	1540
69	115	1536
70	116	1527
71	117	1518
72	120	1529
73	122	1529
74	123	1517
75	124	1512
76	125	1506
77	127	1503
78	128	1500
79	129	1494
80	131	1490
81	133	1494
82	135	1495
83	136	1490
84	137	1483
85	139	1478
86	141	1486
87	142	1481
88	143	1473
89	145	1468
90	147	1468
91	149	1476
92	151	1474
93	152	1466
94	153	1461
95	154	1455
96	155	1448
97	156	1444
98	158	1439
99	159	1436
100	161	1438
101	162	1434
102	164	1430
103	165	1427
104	166	1421
105	167	1413
106	168	1408
107	170	1406
108	171	1400
109	172	1392
110	173	1387
111	174	1383
112	177	1392
113	178	1388
114	179	1384
115	181	1379
116	182	1376
117	183	1371
118	184	1367
119	186	1365
120	187	1359
121	188	1357
122	190	1355
123	191	1351
124	192	1346
125	193	1344
126	195	1340
127	196	1340
128	198	1336
129	199	1333
130	200	1330
131	201	1325
132	202	1322
133	204	1322
134	206	1321
135	207	1318
136	208	1314
137	209	1309
138	210	1305
139	212	1303
140	213	1301
141	214	1298
142	215	1293
143	217	1291
144	219	1293
145	220	1289
146	221	1286
147	223	1286
148	224	1282
149	225	1279
150	227	1277
151	228	1274
152	229	1270
153	230	1267
154	232	1265
155	232	1260
156	234	1257
157	235	1256
158	237	1254
159	238	1250
160	239	1249
161	241	1247
162	242	1245
163	244	1244
164	245	1243
165	246	1240
166	248	1239
167	250	1238
168	251	1234
169	252	1231
170	253	1227
171	254	1224
172	255	1223
173	257	1222
174	258	1218
175	259	1215
176	260	1213
177	262	1210
178	263	1208
179	264	1206
180	265	1202
181	266	1199
182	267	1196
183	268	1192
184	269	1188
185	271	1186
186	272	1184
187	274	1184
188	275	1181
189	276	1178
190	277	1175
191	278	1172
192	279	1169
193	280	1166
194	281	1162
195	282	1159
196	283	1156
197	284	1153
198	286	1151
199	287	1150
200	288	1148
201	289	1145
202	291	1142
203	292	1139
204	293	1137
205	294	1134
206	295	1131
207	296	1129
208	297	1126
209	298	1122
210	299	1120
211	300	1117
212	302	1118
213	303	1115
214	304	1112
215	305	1110
216	306	1107
217	307	1104
218	309	1102
219	310	1099
220	312	1099
221	313	1097
222	314	1094
223	315	1092
224	317	1092
225	318	1090
226	319	1087
227	320	1085
228	321	1083
229	322	1080
230	324	1078
231	325	1075
232	326	1073
233	327	1071
234	328	1069
235	329	1067
236	331	1066
237	332	1064
238	333	1062
239	335	1060
240	336	1058
241	336	1055
242	337	1052
243	339	1050
244	340	1049
245	341	1047
246	343	1046
247	344	1044
248	345	1042
249	346	1040
250	348	1038
251	348	1035
252	350	1033
253	351	1032
254	352	1030
255	354	1029
256	355	1027
257	356	1024
258	357	1023
259	359	1022
260	360	1020
261	361	1018
262	362	1016
263	364	1015
264	365	1013
265	366	1012
266	367	1009
267	369	1007
268	370	1006
269	372	1006
270	373	1004
271	374	1003
272	376	1003
273	377	1001
274	379	999
275	382	1002
276	383	1000
277	384	998
278	385	996
279	387	997
280	389	995
281	390	994
282	391	992
283	393	991
284	394	990
285	396	988
286	397	987
287	399	987
288	401	987
289	402	985
290	403	983
291	405	982
292	406	980
293	407	978
294	408	976
295	409	974
296	411	973
297	412	971
298	416	975
299	417	973
300	418	971
301	419	968
302	420	967
303	421	965
304	424	966
305	425	964
306	426	962
307	427	959
308	428	957
309	430	957
310	431	956
311	432	954
312	434	952
313	435	950
314	436	948
315	437	946
316	438	945
317	440	944
318	442	944
319	444	943
320	445	941
321	446	941
322	448	939
323	449	938
324	451	937
325	452	936
326	454	934
327	455	933
328	456	931
329	458	931
330	459	929
331	461	927
332	463	927
333	464	925
334	465	923
335	466	922
336	468	920
337	469	919
338	471	919
339	472	918
340	474	916
341	475	915
342	477	914
343	478	912
344	479	910
345	480	908
346	482	907
347	483	905
348	485	905
349	487	904
350	488	903
351	490	902
352	491	900
353	492	899
354	493	897
355	495	895
356	496	894
357	497	892
358	498	890
359	501	890
360	502	889
361	503	887
362	505	886
363	506	884
364	507	883
365	509	881
366	510	880
367	511	878
368	512	876
369	514	875
370	515	874
371	516	872
372	518	871
373	519	869
374	520	868
375	522	866
376	523	864
377	524	863
378	525	861
379	526	859
380	529	860
381	530	858
382	532	857
383	533	855
384	534	854
385	536	852
386	537	851
387	538	850
388	540	848
389	541	846
390	542	845
391	544	844
392	545	842
393	546	841
394	548	839
395	550	839
396	551	838
397	552	836
398	554	834
399	555	833
400	558	833
401	559	833
402	561	831
403	563	830
404	564	829
405	565	828
406	567	827
407	569	825
408	570	824
409	572	823
410	573	821
411	574	820
412	576	818
413	577	817
414	579	816
415	580	815
416	581	813
417	583	811
418	584	810
419	586	809
420	587	808
421	589	806
422	590	805
423	591	803
424	593	802
425	594	800
426	595	798
427	596	797
428	598	796
429	599	795
430	601	793
431	602	792
432	603	790
433	605	789
434	606	787
435	607	786
436	609	784
437	610	783
438	611	781
439	613	780
440	614	779
441	616	778
442	617	776
443	618	774
444	619	772
445	620	771
446	622	769
447	623	768
448	625	767
449	626	765
450	627	763
451	628	762
452	630	761
453	632	760
454	633	758
455	634	757
456	635	755
457	636	753
458	637	751
459	639	750
460	640	748
461	641	747
462	643	745
463	644	744
464	645	742
465	646	741
466	648	739
467	649	738
468	650	736
469	651	734
470	652	732
471	653	730
472	654	729
473	656	728
474	657	726
475	658	725
476	660	723
477	661	722
478	662	720
479	663	718
480	664	717
481	665	715
482	666	713
483	668	712
484	669	711
485	671	709
486	672	708
487	674	707
488	675	706
489	677	705
490	678	703
491	680	702
492	681	700
493	682	699
494	684	698
495	685	697
496	687	695
497	688	694
498	689	692
499	691	691
500	692	689
501	693	688
502	695	686
503	696	685
504	697	683
505	698	681
506	699	680
507	701	679
508	703	678
509	704	676
510	705	675
511	707	674
512	708	672
513	709	671
514	710	669
515	712	668
516	713	666
517	714	665
518	716	663
519	717	662
520	719	661
521	720	659
522	721	658
523	722	656
524	724	655
525	725	653
526	727	652
527	728	651
